Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
5156,0.54,6.17%,0.0092,0.0046614744
5157,19.33,8.31%,0.004,0.070894708
5158,13.68,9.10%,0.0097,0.120620664
5159,20.48,16.82%,0.0022,0.0374775808
5160,17.83,26.16%,0.0032,0.0421301504
5161,12.84,24.07%,0.0048,0.0467971776
5162,21.17,27.29%,0.0037,0.0569530159
5163,23.74,1.38%,0.0024,0.0561897312
5164,18.9,0.55%,0.0025,0.046990125
5165,14.86,26.57%,0.0002,0.0021823396
5166,4.56,37.58%,0.0034,0.0096775968
5167,10.82,19.09%,0.0073,0.0639075726
5168,5.12,13.09%,0.0094,0.0418280448
5169,11.97,30.62%,0.0068,0.0564725448
5170,10.95,0.38%,0.0018,0.019635102
5171,11.1,2.83%,0.0085,0.091679895
5172,0.43,29.10%,0.002,0.00060974
5173,10.43,4.26%,0.0046,0.0459341372
5174,21.04,39.67%,0.0087,0.1104328584
5175,18.03,38.58%,0.0086,0.0952366236
5176,0.08,36.76%,0.0045,0.000227664
5177,20.91,2.14%,0.0016,0.0327400416
5178,16.63,2.96%,0.0091,0.1468535432
5179,1.54,9.56%,0.002,0.002785552
5180,5.23,0.25%,0.0053,0.0276497025
5181,11.08,1.30%,0.0011,0.012029556
5182,8.44,37.77%,0.0069,0.0362402628
5183,15.72,33.24%,0.0048,0.0503744256
5184,4.63,15.41%,0.006,0.023499102
5185,0.81,29.67%,0.0032,0.0018229536
5186,18.82,8.57%,0.0073,0.1256120198
5187,19.79,16.33%,0.0003,0.0049674879
5188,21.72,14.04%,0.0066,0.1232253792
5189,16.25,28.53%,0.0023,0.0267119125
5190,8.64,29.00%,0.0011,0.00674784
5191,10.87,29.53%,0.0084,0.0643447476
5192,16.24,28.16%,0.0049,0.0571673984
5193,9.33,32.14%,0.0031,0.0196271478
5194,15.47,24.68%,0.0023,0.0267996092
5195,22.88,1.71%,0.0014,0.0314842528
5196,13.79,0.34%,0.0037,0.0508495218
5197,9.48,18.50%,0.0055,0.0424941
5198,15.28,8.23%,0.0093,0.1304088408
5199,3.06,36.64%,0,0
5200,4.37,23.65%,0.0033,0.0110104335
5201,10.67,17.61%,0.0088,0.0773609144
5202,19.24,22.83%,0.0067,0.0994783036
5203,9.02,35.50%,0.0013,0.00756327
5204,14.41,26.99%,0.0057,0.0599682237
5205,16.16,36.45%,0.0007,0.007188776
5206,5.33,21.39%,0.0013,0.0054468869
5207,8.47,8.02%,0.0022,0.0171395532
5208,17.07,2.46%,0.009,0.149850702
5209,18.7,29.61%,0.0068,0.089507924
5210,3.78,35.58%,0,0
5211,20.24,15.20%,0.0075,0.1287264
5212,22.21,38.70%,0.0002,0.002722946
5213,9.31,24.69%,0.0045,0.0315511245
5214,8.86,25.44%,0.0003,0.0019818048
5215,1.96,24.46%,0.0038,0.0056262192
5216,4.79,36.29%,0.0005,0.0015258545
5217,15.71,34.57%,0.0033,0.0339208749
5218,1.58,35.24%,0.003,0.003069624
5219,8.63,15.38%,0.0046,0.0335924476
5220,6.39,26.63%,0.0064,0.0300053952
5221,3.05,32.31%,0.0014,0.002890363
5222,3.44,24.60%,0.0039,0.010115664
5223,6.53,19.49%,0.0058,0.0304923574
5224,4.96,30.55%,0.0034,0.011712048
5225,6.21,23.89%,0.0087,0.0411199497
5226,1.58,24.11%,0.0031,0.0037170922
5227,11.15,17.48%,0.0061,0.056125978
5228,7.64,15.25%,0.0073,0.04726677
5229,24.61,9.29%,0.0097,0.2165401907
5230,4.92,11.08%,0.005,0.02187432
5231,8.3,9.57%,0.0074,0.055542106
5232,10.46,8.41%,0.0027,0.0258668478
5233,15.25,7.95%,0.0042,0.058958025
5234,1.66,3.31%,0,0
5235,7.45,4.07%,0.0054,0.038592639
5236,10.56,19.11%,0.0028,0.0239175552
5237,14.94,6.00%,0.0031,0.04353516
5238,21.64,6.70%,0.0037,0.074703444
5239,7.59,27.17%,0.0078,0.0431168166
5240,10.85,12.12%,0.0011,0.010488478
5241,9.09,4.81%,0.0051,0.0441291321
5242,0.68,34.77%,0.0009,0.0003992076
5243,6.83,9.68%,0.0019,0.0117208264
5244,2.14,14.86%,0.0003,0.0005465988
5245,18.34,1.06%,0.0027,0.0489931092
5246,11.33,4.13%,0.0081,0.0879827751
5247,21.6,29.31%,0.0022,0.033591888
5248,3.97,5.33%,0.0001,0.0003758399
5249,7.53,8.29%,0.0025,0.0172644075
5250,13.94,35.19%,0.0074,0.0668554036
5251,7.71,10.09%,0.0027,0.0187165647
5252,13.97,24.36%,0.0008,0.0084535264
5253,10.67,8.85%,0.0075,0.0729427875
5254,21.57,25.26%,0.0072,0.1160742096
5255,3.23,23.84%,0.0057,0.0140218176
5256,20.79,36.15%,0.004,0.05309766
5257,23.44,16.16%,0.0068,0.1336342528
5258,2.75,24.81%,0.0004,0.00082709
5259,14.98,0.45%,0.007,0.10438813
5260,23.56,37.44%,0.0087,0.1282304832
5261,18.5,30.73%,0.0002,0.00256299
5262,20.06,22.80%,0.0062,0.096015184
5263,7.24,6.86%,0.0034,0.0229273424
5264,7.78,24.60%,0.0013,0.007625956
5265,22.09,12.70%,0.0065,0.125349705
5266,21.02,12.44%,0.0021,0.0386507352
5267,24.08,13.97%,0.0026,0.0538616624
5268,22.12,20.00%,0.0034,0.0601664
5269,21.12,11.28%,0.0047,0.0880670208
5270,0.68,22.96%,0.0044,0.0023050368
5271,13.85,10.12%,0.0075,0.09336285
5272,9.02,8.17%,0.0014,0.0115962924
5273,19.75,0.99%,0.0081,0.1583912475
5274,3.88,32.74%,0.0056,0.0146142528
5275,0.26,4.01%,0.001,0.000249574
5276,18.99,6.92%,0.0018,0.0318166056
5277,15.5,38.04%,0.003,0.0288114
5278,14.17,2.46%,0.0003,0.0041464254
5279,6.07,37.50%,0.0077,0.029211875
5280,22.08,14.67%,0.0003,0.0056522592
5281,8.4,16.61%,0.0089,0.062342364
5282,14.6,34.01%,0.0001,0.000963454
5283,1.48,24.58%,0.0047,0.0052462152
5284,5.49,35.32%,0.0008,0.0028407456
5285,17.3,16.63%,0.0043,0.062018943
5286,1.17,10.32%,0.0093,0.0097580808
5287,5.29,9.54%,0.0007,0.0033497338
5288,13.81,6.87%,0.0001,0.0012861253
5289,14.77,18.33%,0.0074,0.0892636766
5290,2.43,6.28%,0.0084,0.0191301264
5291,14.62,22.27%,0.003,0.034092378
5292,19.87,2.31%,0.0018,0.0349398054
5293,16.09,11.04%,0.0087,0.1245288768
5294,7.03,4.79%,0.001,0.006693263
5295,2.62,6.89%,0.0061,0.0148808402
5296,6.35,9.99%,0.0008,0.004572508
5297,5.28,14.59%,0.006,0.027057888
5298,19.73,8.25%,0.0051,0.0923216025
5299,17.64,39.16%,0.0091,0.0976628016
5300,7.39,5.81%,0.0001,0.0006960641
5301,24.79,15.88%,0.0046,0.0959254008
5302,4.35,30.81%,0.0046,0.013844919
5303,15.14,4.08%,0.0041,0.0595413808
5304,11.36,9.73%,0.0008,0.0082037376
5305,14.14,10.52%,0.0035,0.044283652
5306,9.62,13.28%,0.0023,0.0191876672
5307,18.07,1.52%,0.0047,0.0836380792
5308,17.4,25.76%,0.0091,0.117551616
5309,12.42,12.69%,0.0041,0.0444599982
5310,9.61,37.49%,0.0023,0.0138165853
5311,9.11,20.89%,0.0065,0.0468449865
5312,7.97,39.04%,0.0021,0.0102028752
5313,17.94,31.31%,0.0053,0.0653118258
5314,2.4,7.61%,0.0009,0.001995624
5315,7.93,15.48%,0.0033,0.0221180388
5316,2.21,9.61%,0.0021,0.0041949999
5317,14.8,9.86%,0.0092,0.122734624
5318,16.79,9.21%,0,0
5319,16.88,9.48%,0.0053,0.0809828128
5320,10.62,34.12%,0.0051,0.0356819256
5321,7.22,13.93%,0.0084,0.0521997336
5322,13.45,5.54%,0.0081,0.102909447
5323,18.01,28.37%,0.0094,0.1212652922
5324,9.4,9.61%,0.0094,0.079868604
5325,19.06,30.22%,0.0032,0.0425602176
5326,17.55,39.76%,0.0095,0.10043514
5327,5.44,2.53%,0.0076,0.0402979968
5328,1.23,20.62%,0.0095,0.009275553
5329,7.58,29.13%,0.0046,0.0247109516
5330,2.18,18.20%,0.0024,0.004279776
5331,14.52,1.09%,0.0098,0.1407449736
5332,22.15,11.21%,0.0016,0.031467176
5333,18.03,22.07%,0.0047,0.0660386613
5334,7.97,19.05%,0.0062,0.040000633
5335,9.64,30.79%,0.0093,0.0620481492
5336,7.29,18.48%,0.0058,0.0344682864
5337,8.83,20.07%,0.0041,0.0289370579
5338,20.86,19.98%,0.0059,0.0984838148
5339,24.08,5.26%,0.0013,0.0296574096
5340,17.21,8.59%,0.0079,0.1242801219
5341,9.12,17.74%,0.0071,0.0532649952
5342,19.19,13.98%,0.0018,0.0297130284
5343,20.54,15.26%,0.0052,0.0905090992
5344,5.39,35.90%,0.0079,0.027294421
5345,4.24,5.03%,0.0075,0.03020046
5346,22.36,1.59%,0.0041,0.0902183516
5347,0.58,3.49%,0.0054,0.0030226932
5348,17.23,28.24%,0.0011,0.0136006728
5349,2.05,0.10%,0.0055,0.011263725
5350,4.82,2.39%,0.0063,0.0296402526
5351,21.3,4.50%,0.0019,0.03864885
5352,4.52,12.37%,0.0092,0.0364400592
5353,22.5,35.43%,0.0086,0.12494295
5354,4.64,33.40%,0.001,0.00309024
5355,9.87,30.09%,0.0013,0.0089701521
5356,20.54,18.64%,0.0077,0.1286773488
5357,5.09,2.34%,0.0001,0.0004970894
5358,17.9,38.64%,0.0088,0.096654272
5359,16.88,13.78%,0.0062,0.0902344032
5360,8.92,13.01%,0.0049,0.0380215892
5361,4.1,2.16%,0.0064,0.025673216
5362,12.86,12.25%,0.0084,0.09479106
5363,13.5,6.70%,0.0018,0.0226719
5364,12.48,32.95%,0.0025,0.0209196
5365,18.05,4.10%,0.0066,0.11424567
5366,6.04,3.29%,0.0033,0.0192762372
5367,12.87,15.95%,0.0003,0.0032451705
5368,2.09,4.41%,0.0026,0.0051943606
5369,22.89,18.78%,0.0078,0.1450118124
5370,16.28,2.03%,0.0024,0.0382788384
5371,14,33.99%,0.004,0.0369656
5372,4.97,17.36%,0.0022,0.0090358576
5373,10.53,7.89%,0.0007,0.0067894281
5374,1.26,6.02%,0.0049,0.0058023252
5375,11.11,0.14%,0.0032,0.0355022272
5376,4.19,3.79%,0.0037,0.0149154363
5377,1.89,29.18%,0.0075,0.010038735
5378,18.77,11.29%,0.0012,0.0199810404
5379,9.05,16.57%,0.0078,0.058893237
5380,19.47,20.01%,0.002,0.031148106
5381,21.37,16.35%,0.0031,0.0554156155
5382,6.32,39.98%,0.0055,0.020862952
5383,13.94,2.85%,0.0036,0.048753756
5384,22.39,23.52%,0.0078,0.1335662016
5385,23.56,9.17%,0.0038,0.0813182824
5386,21.24,24.15%,0.0041,0.066053214
5387,2.15,4.16%,0.0059,0.012157304
5388,22.48,35.33%,0.0016,0.0232605056
5389,14.59,33.98%,0.0083,0.0799482394
5390,4.38,20.05%,0.0033,0.011555973
5391,23.65,23.74%,0.0066,0.119034234
5392,3.48,36.97%,0.0019,0.0041675436
5393,12.62,11.72%,0.009,0.100268424
5394,9.18,4.39%,0.0074,0.0649497852
5395,24.53,7.27%,0.0084,0.1910720196
5396,24.46,4.82%,0.0004,0.0093124112
5397,2.08,5.26%,0.0047,0.0092617824
5398,6.42,20.07%,0.0057,0.0292495842
5399,21.27,35.75%,0.0081,0.1106943975
5400,11.5,23.60%,0.0087,0.0764382
5401,19.37,22.10%,0.0024,0.036214152
5402,6,14.43%,0.0018,0.00924156
5403,4.55,15.95%,0.0096,0.03671304
5404,9.47,4.71%,0.0049,0.0442174187
5405,23.11,17.78%,0.0085,0.161508857
5406,21.03,1.02%,0.0037,0.0770173278
5407,24.53,4.24%,0.0032,0.0751677696
5408,9.11,5.30%,0.0027,0.023293359
5409,16.95,24.40%,0.0006,0.00768852
5410,16.54,33.13%,0.0094,0.1039668012
5411,0.94,35.83%,0.0048,0.0028953504
5412,2.29,6.03%,0.0046,0.0098987998
5413,3.58,36.18%,0.0071,0.0162217676
5414,8.25,12.18%,0.0043,0.031154145
5415,0.72,15.46%,0.0056,0.0034086528
5416,10.28,12.67%,0.0068,0.0610471632
5417,17.33,37.44%,0.0017,0.0184308016
5418,2.35,5.02%,0.0013,0.002901639
5419,11.83,10.51%,0.0088,0.0931626696
5420,23.03,4.51%,0.0001,0.0021991347
5421,13.45,31.75%,0.0058,0.053241825
5422,20.84,27.57%,0.0084,0.1267930608
5423,11.1,0.09%,0.0098,0.108682098
5424,8.33,24.35%,0.0096,0.060495792
5425,0.19,24.80%,0.0057,0.000814416
5426,13.06,16.27%,0.0008,0.0087481104
5427,14.91,20.28%,0.0004,0.0047545008
5428,22.3,16.01%,0.0029,0.054316333
5429,21.5,28.88%,0.0095,0.1452626
5430,9.34,28.97%,0.0099,0.0656785998
5431,0.15,31.33%,0.0041,0.0004223205
5432,7.58,8.82%,0.0075,0.05183583
5433,10.87,31.86%,0.0082,0.0607359076
5434,17.23,37.09%,0.0095,0.1029742335
5435,6.03,29.98%,0.0071,0.0299776626
5436,16.08,20.70%,0.0092,0.117313248
5437,1.28,11.39%,0.0012,0.0013610496
5438,14.67,25.73%,0.0067,0.0729992403
5439,18.24,12.26%,0.0096,0.1536362496
5440,24,35.08%,0,0
5441,2.71,35.37%,0.0005,0.0008757365
5442,11.86,39.91%,0.0054,0.0384840396
5443,13.42,33.55%,0.0038,0.033886842
5444,8.78,17.69%,0.0079,0.0570918622
5445,2.05,3.45%,0.0008,0.00158342
5446,23.76,20.71%,0.0062,0.1168036848
5447,20.96,17.59%,0.0028,0.0483647808
5448,3.86,7.42%,0.0084,0.0300181392
5449,13.33,37.79%,0.0033,0.0273655569
5450,23.22,13.94%,0.01,0.19983132
5451,9.92,4.66%,0.0041,0.0387766848
5452,17.4,19.80%,0.0031,0.04325988
5453,4.89,9.46%,0.0065,0.028778139
5454,7.3,29.24%,0.0059,0.030476332
5455,12.28,37.64%,0.0087,0.0666229296
5456,13.44,18.65%,0.0019,0.020773536
5457,3.17,5.66%,0.0094,0.0281114332
5458,21.47,5.12%,0.0095,0.193521992
5459,6.85,8.93%,0.0025,0.0155957375
5460,0.67,28.91%,0.0017,0.0008097151
5461,21.59,14.14%,0.0036,0.0667338264
5462,22.37,15.97%,0.001,0.018797511
5463,9.27,38.94%,0.0058,0.0328295196
5464,22.91,27.32%,0.002,0.033301976
5465,10.78,23.02%,0.0015,0.012447666
5466,13.78,30.50%,0.0015,0.01436565
5467,3.93,30.09%,0.0089,0.0244524207
5468,18.65,22.70%,0.0069,0.099473505
5469,8.23,28.91%,0.0097,0.0567518579
5470,20.17,16.95%,0.0067,0.1122329395
5471,6.72,28.40%,0.0022,0.010585344
5472,19.56,11.52%,0.0061,0.1055707968
5473,8.88,26.47%,0.0022,0.0143648208
5474,20.13,12.91%,0.0025,0.0438280425
5475,19.46,15.20%,0.0084,0.138617472
5476,24.82,7.79%,0.0081,0.1853808282
5477,20.77,26.54%,0.0045,0.068659389
5478,18.3,30.08%,0.0023,0.029429328
5479,8.02,22.11%,0.0009,0.0056221002
5480,2.1,34.97%,0.0091,0.012427233
5481,1.08,24.02%,0.0036,0.0029541024
5482,18.59,5.02%,0.0092,0.1624423944
5483,18.36,0.39%,0.0047,0.0859554612
5484,10.73,20.24%,0.0032,0.0273863936
5485,15.05,35.73%,0.0067,0.0648066545
5486,8.2,18.79%,0.001,0.00665922
5487,9.89,20.00%,0.0051,0.0403512
5488,4.83,24.55%,0.0079,0.0287894565
5489,18.7,2.84%,0.0043,0.078126356
5490,8.97,28.84%,0.0096,0.0612772992
5491,5.65,38.18%,0.0065,0.022703395
5492,16.8,35.33%,0.0092,0.099953952
5493,18.76,31.86%,0.0068,0.0869248352
5494,12.82,36.55%,0.0087,0.070768323
5495,10.93,21.25%,0,0
5496,14.85,23.75%,0.0003,0.0033969375
5497,0.15,24.04%,0.0005,0.00005697
5498,23.01,18.66%,0.0058,0.1085547372
5499,18.94,5.48%,0.0065,0.116363572
5500,5.82,19.72%,0.0012,0.0056067552
5501,12.78,22.53%,0.0009,0.0089105994
5502,5.81,3.12%,0.0004,0.0022514912
5503,8.54,32.26%,0.0061,0.0352884756
5504,12.81,2.49%,0.0016,0.0199856496
5505,14.67,30.51%,0.0092,0.0937864836
5506,8.99,33.98%,0.0049,0.0290824702
5507,12,23.59%,0.0091,0.08343972
5508,6.77,34.89%,0.0083,0.0365859601
5509,14.19,19.62%,0,0
5510,7.45,17.28%,0.0021,0.012941544
5511,8.02,39.80%,0.0049,0.023657396
5512,10.33,35.12%,0.0017,0.0113935768
5513,4.45,25.85%,0.0085,0.0280472375
5514,13.11,36.38%,0.0084,0.0700608888
5515,1.14,29.85%,0.001,0.00079971
5516,11.03,25.61%,0.0019,0.0155899123
5517,2.87,9.35%,0.0018,0.004682979
5518,5.37,3.59%,0.0033,0.0170848161
5519,0.18,28.79%,0.0046,0.0005896188
5520,2.23,25.46%,0.0057,0.0094747794
5521,2.02,28.18%,0.0034,0.0049325976
5522,7.32,6.38%,0.0044,0.0301531296
5523,0.56,31.93%,0.0079,0.0030114168
5524,14.67,27.25%,0.0097,0.1035225225
5525,13.99,3.53%,0.0039,0.0526349967
5526,9.89,12.39%,0.0047,0.0407237563
5527,21.07,24.61%,0.0077,0.1223119821
5528,1.99,9.52%,0.0044,0.0079224288
5529,4.1,5.74%,0.0096,0.037100736
5530,2.56,31.00%,0.0051,0.00900864
5531,4.26,27.06%,0.0084,0.0261008496
5532,11.07,5.71%,0.0019,0.0198320157
5533,20.72,4.41%,0.006,0.118837488
5534,24.34,10.23%,0.0015,0.032775027
5535,2.64,25.17%,0.0017,0.0033583704
5536,6.12,38.76%,0.003,0.011243664
5537,24.77,20.28%,0.0012,0.0236959728
5538,16.87,13.78%,0.0036,0.0523631304
5539,17.71,32.54%,0.0072,0.0860195952
5540,3.27,34.77%,0.0061,0.0130114281
5541,9.44,3.11%,0.0005,0.004573208
5542,15.13,39.99%,0.0006,0.0054477078
5543,6.05,15.78%,0.0066,0.033629046
5544,0.73,16.19%,0.0026,0.0015907138
5545,16.11,27.73%,0.0047,0.0547206759
5546,18.11,12.28%,0.0084,0.1334431728
5547,19.78,38.48%,0.0014,0.0170361184
5548,19.29,34.07%,0.0084,0.1068303348
5549,7.69,30.34%,0.0058,0.0310697532
5550,3.85,20.21%,0.0081,0.0248825115
5551,8.52,20.53%,0.0046,0.0311458824
5552,21.72,26.04%,0.0081,0.1301193072
5553,18.22,35.71%,0.0094,0.1101081972
5554,4.07,33.58%,0.0088,0.0237889872
5555,13.44,15.87%,0.0038,0.0429668736
5556,21.17,39.96%,0.0034,0.0432155912
5557,12.01,24.87%,0.0069,0.0622594797
5558,17.38,9.42%,0.0045,0.070842618
5559,1.19,35.81%,0.0082,0.0062636602
5560,11.06,27.35%,0.0004,0.003214036
5561,15.6,27.45%,0.0082,0.09280596
5562,20.5,6.08%,0.007,0.1347752
5563,6.69,6.72%,0.0065,0.040562808
5564,4.21,10.68%,0.0067,0.0251944924
5565,21.56,31.89%,0.0068,0.0998547088
5566,8.3,16.44%,0.0049,0.033983852
5567,1.42,18.19%,0.0077,0.0089451054
5568,17.86,31.03%,0.0069,0.0849944898
5569,20.31,34.74%,0.0072,0.0954310032
5570,5.29,3.53%,0.0015,0.0076548945
5571,3.33,31.48%,0.0061,0.0139184676
5572,10.1,29.25%,0.0049,0.035014175
5573,15.09,9.37%,0.006,0.082056402
5574,5.36,26.77%,0.0089,0.0349336392
5575,18.81,12.37%,0.0033,0.0543945699
5576,13.05,7.96%,0.0084,0.100894248
5577,16.34,14.02%,0.0086,0.1208225352
5578,22.46,20.38%,0.0007,0.0125178564
5579,20.63,11.46%,0.0014,0.0255721228
5580,23.97,15.28%,0.0019,0.0385840296
5581,6.19,19.84%,0.0043,0.0213361872
5582,10.14,36.63%,0.0088,0.0565463184
5583,22.33,6.09%,0.0098,0.2055070094
5584,10.59,2.31%,0.0013,0.0134489823
5585,24.81,0.48%,0.0078,0.1925891136
5586,15.94,7.66%,0.0028,0.0412131888
5587,17.73,11.76%,0.0023,0.0359833896
5588,19.79,11.46%,0.0079,0.1384243214
5589,23.53,11.34%,0.0079,0.1648074142
5590,21.47,28.10%,0.0069,0.106514817
5591,22.15,3.39%,0.0017,0.0363784955
5592,8.26,19.19%,0.0064,0.0427193984
5593,24.94,19.38%,0.0016,0.0321706048
5594,15.95,21.45%,0.0062,0.077678095
5595,10.6,29.58%,0.0029,0.021647108
5596,20.35,4.15%,0.0011,0.0214560225
5597,15.29,39.51%,0.0075,0.0693669075
5598,6.13,34.88%,0.0013,0.0051894128
5599,17.71,28.71%,0.0029,0.0366138311
5600,18.41,15.62%,0.008,0.124274864
5601,20.3,24.12%,0.0073,0.112446572
5602,17.48,18.83%,0.0051,0.0723614316
5603,1.24,7.38%,0.0062,0.0071206256
5604,7.58,31.71%,0.0093,0.0481403526
5605,10.72,27.30%,0.0007,0.005455408
5606,12.7,19.12%,0.0091,0.093473016
5607,2.7,39.07%,0.0084,0.013818924
5608,15.62,39.44%,0.0007,0.0066216304
5609,1.77,25.51%,0.0021,0.0027687933
5610,17.73,17.46%,0.0062,0.0907329204
5611,22.21,32.37%,0.0099,0.1487041677
5612,0.33,2.89%,0.0023,0.0007370649
5613,22.2,18.37%,0.0017,0.030807162
5614,3.59,3.32%,0.0029,0.0100653548
5615,8.48,28.39%,0.0052,0.0315771456
5616,5.38,16.81%,0.0064,0.0286439808
5617,14.78,13.76%,0.001,0.012746272
5618,7.77,12.96%,0.0086,0.0581618688
5619,6.94,4.06%,0.0025,0.01664559
5620,5.4,29.52%,0.0047,0.017887824
5621,8.67,29.94%,0.0098,0.0595271796
5622,20.05,37.94%,0.0009,0.011198727
5623,10.86,30.86%,0.0049,0.0367921596
5624,1.04,31.93%,0.0088,0.0062297664
5625,8.33,12.70%,0.0052,0.037814868
5626,22.82,3.83%,0.0052,0.1141191688
5627,0.62,28.81%,0.0013,0.0005737914
5628,8.19,7.15%,0.0076,0.057793554
5629,19.67,8.93%,0.0018,0.0322442442
5630,21.87,16.51%,0.0086,0.1570296618
5631,9.28,29.55%,0.0006,0.003922656
5632,21.95,8.66%,0.0016,0.032078608
5633,0.64,12.05%,0.0016,0.000900608
5634,24.47,27.99%,0.0092,0.1621117924
5635,15.91,22.01%,0.0061,0.0756900749
5636,9.21,18.26%,0.0017,0.0127980318
5637,22.46,0.26%,0.0039,0.0873662556
5638,6.34,33.78%,0.0033,0.0138545484
5639,6.35,14.98%,0.0091,0.049128807
5640,18.59,6.37%,0.0084,0.1462088628
5641,13.42,30.99%,0.0072,0.0666802224
5642,6.72,26.79%,0.0093,0.0457533216
5643,10.34,30.87%,0.0037,0.0264477554
5644,15.52,10.92%,0.0069,0.0953939904
5645,6.45,19.47%,0.0059,0.0306456915
5646,16.9,6.05%,0.0082,0.13019591
5647,19.69,17.79%,0.0022,0.0356117278
5648,14,22.41%,0.0059,0.06408934
5649,16.83,10.28%,0.0064,0.0966392064
5650,22.98,23.20%,0.0005,0.00882432
5651,7.78,23.29%,0.0055,0.032824209
5652,15.28,25.76%,0.0078,0.0884822016
5653,18.14,11.78%,0.0096,0.1536298368
5654,4.34,19.96%,0.0084,0.0291793824
5655,0.23,39.46%,0.0071,0.0009886182
5656,24.87,8.66%,0.0074,0.1681003092
5657,20.66,5.10%,0.0061,0.119598674
5658,2.2,27.63%,0,0
5659,7.87,24.97%,0.0021,0.0124002081
5660,24.31,26.14%,0.0086,0.1544161476
5661,14.26,39.76%,0.0006,0.0051541344
5662,13.87,23.51%,0.0072,0.0763859736
5663,10.92,11.27%,0.0034,0.0329436744
5664,24.79,10.71%,0.0068,0.1505179388
5665,18.19,27.24%,0.0012,0.0158820528
5666,5.16,8.24%,0.0089,0.0421398624
5667,18.4,1.19%,0.0011,0.019999144
5668,11.53,15.46%,0.0026,0.0253434012
5669,4.3,15.06%,0.0075,0.02739315
5670,9.22,37.03%,0.0036,0.0209010024
5671,15.41,9.95%,0.0065,0.0901985825
5672,20.96,25.90%,0,0
5673,2.68,2.31%,0.0048,0.0125668416
5674,24.64,15.30%,0,0
5675,20.56,20.25%,0.004,0.0655864
5676,8.45,5.94%,0.0006,0.004768842
5677,11.03,11.26%,0.0004,0.0039152088
5678,17.7,1.19%,0.003,0.05246811
5679,20.47,0.39%,0.0016,0.0326242672
5680,20.37,12.75%,0.01,0.17772825
5681,20.82,27.15%,0.0042,0.063702954
5682,23.36,1.98%,0.0084,0.1923387648
5683,9.79,5.49%,0.0069,0.0638424501
5684,0.31,21.64%,0.0009,0.0002186244
5685,18.43,39.06%,0.0062,0.0696337004
5686,10.97,7.34%,0.0014,0.0142307228
5687,13.92,8.88%,0.0044,0.0558091776
5688,2.04,0.09%,0.0039,0.0079488396
5689,23.82,35.48%,0.0003,0.0046105992
5690,14.41,9.64%,0.0092,0.1197920592
5691,10.99,9.24%,0.0076,0.0758063824
5692,0.77,20.12%,0.0002,0.0001230152
5693,17.83,5.92%,0.0082,0.1375506048
5694,10.22,27.71%,0.0096,0.0709251648
5695,10.89,23.04%,0.0097,0.0812951568
5696,6.32,30.13%,0.0032,0.0141305088
5697,14.43,7.90%,0.0096,0.127584288
5698,7.71,7.85%,0.0013,0.0092361945
5699,15.5,7.27%,0.0065,0.093425475
5700,4.45,10.46%,0.0071,0.028290163
5701,23.23,30.60%,0.0034,0.054813508
5702,6.07,6.58%,0.0014,0.0079388316
5703,13.15,13.73%,0.0079,0.0896215895
5704,20.13,31.16%,0.0014,0.0194004888
5705,2.41,5.90%,0.0058,0.013153298
5706,12.88,27.88%,0.0093,0.0863882208
5707,24.86,2.44%,0.002,0.048506832
5708,12.38,1.79%,0.0098,0.1191523004
5709,18.56,28.55%,0.009,0.11935008
5710,4.91,17.98%,0.0047,0.0189277554
5711,24.84,9.33%,0.0069,0.1554047532
5712,15.73,17.24%,0.006,0.078108888
5713,2.15,3.95%,0.0084,0.01734663
5714,8.02,14.36%,0.0062,0.0425836336
5715,2.93,39.81%,0.0027,0.0047616309
5716,23.26,6.87%,0.0074,0.1602990812
5717,1.69,7.08%,0.0059,0.0092650532
5718,9.77,37.47%,0.0054,0.0329895774
5719,10.63,4.86%,0.0003,0.0030340146
5720,18.9,14.48%,0.0098,0.158400144
5721,19.01,4.18%,0.0085,0.154830747
5722,9.6,28.71%,0.0035,0.02395344
5723,9.92,17.40%,0.0019,0.015568448
5724,9.96,16.01%,0.0078,0.0652501512
5725,11.78,16.24%,0.0044,0.0434144832
5726,10.49,14.81%,0.0024,0.0214474344
5727,8.13,30.66%,0.0008,0.0045098736
5728,1.59,6.61%,0.0036,0.0053456436
5729,17.93,33.23%,0.009,0.107746749
5730,14.71,21.23%,0.0018,0.0208567206
5731,20.43,21.30%,0.0034,0.054666594
5732,11.43,27.43%,0.0035,0.0290316285
5733,22.59,15.96%,0.008,0.151877088
5734,21.19,4.78%,0.0042,0.0847438956
5735,10.84,33.95%,0.0046,0.032935172
5736,20.76,18.37%,0.0085,0.144044298
5737,15.53,16.83%,0.0059,0.0762061759
5738,11.58,2.68%,0.0043,0.0484595208
5739,7.45,38.99%,0.0054,0.024544323
5740,5.8,33.37%,0.0084,0.032462136
5741,10.09,17.78%,0.0091,0.0754935818
5742,8.76,2.19%,0.0022,0.0188499432
5743,12.7,34.92%,0.0011,0.009091676
5744,15.34,23.16%,0.0097,0.1143363832
5745,7.39,33.89%,0.0087,0.0425041023
5746,19.89,28.22%,0.0035,0.049969647
5747,9.99,12.44%,0.0081,0.0708526764
5748,11.03,1.35%,0.002,0.02176219
5749,24.7,37.75%,0.0073,0.112242975
5750,6.16,34.38%,0.0078,0.0315290976
